repo,path,name
rcouturier/Rchic,NAMESPACE,NAMESPACE
flowlight0/dotfiles,.emacs.d/snippets/c++-mode/namespace,namespace
DriesVanDaele/configurations,.emacs.d/.emacs.d/elpa/yasnippet-20131031.628/snippets/csharp-mode/namespace,namespace
DriesVanDaele/configurations,.emacs.d/elpa/yasnippet-20131031.628/snippets/csharp-mode/namespace,namespace
DriesVanDaele/configurations,.emacs.d/elpa/yasnippet-0.6.1/snippets/text-mode/cc-mode/csharp-mode/namespace,namespace
dmontaner/TiddlyWikiR,NAMESPACE,NAMESPACE
vogatt/mc-consensus,NAMESPACE,NAMESPACE
vogatt/mc-consensus,mc-consensus/NAMESPACE,NAMESPACE
flr/FLRDynState,NAMESPACE,NAMESPACE
MarkusLoew/AgFace,packages/CampbellLogger/NAMESPACE,NAMESPACE
MarkusLoew/AgFace,packages/GlasshouseClimateImport/NAMESPACE,NAMESPACE
MarkusLoew/AgFace,packages/HH2/NAMESPACE,NAMESPACE
vdkhadke/vipl-emacs,emacs-for-python/extensions/yasnippet/snippets/csharp-mode/namespace,namespace
wahani/parallelTools,package/NAMESPACE,NAMESPACE
voronaam/ROracle2,NAMESPACE,NAMESPACE
zhenglei-gao/EcotoxTests,NAMESPACE,NAMESPACE
s-u/audio,NAMESPACE,NAMESPACE
AnalytixWare/gosocket,NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/RColorBrewer/NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/RandomFields/NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/SGL/NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/adalars/NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/adalasso/NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/bitops/NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/colorspace/NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/devtools/NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/dichromat/NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/digest/NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/doMC/NAMESPACE,NAMESPACE
wrbrooks/gwr-sim,rlibs/evaluate/NAMESPACE,NAMESPACE
