repo,path,name
rforge/desire,staging/cmaes/NAMESPACE,NAMESPACE
rforge/desire,pkg/desire/NAMESPACE,NAMESPACE
rforge/desire,pkg/loglognorm/NAMESPACE,NAMESPACE
rforge/desire,staging/loglognorm/NAMESPACE,NAMESPACE
rforge/desire,pkg/mco/NAMESPACE,NAMESPACE
rforge/desire,staging/mco/NAMESPACE,NAMESPACE
rforge/desire,pkg/truncnorm/NAMESPACE,NAMESPACE
rforge/desire,staging/truncnorm/NAMESPACE,NAMESPACE
rforge/desire,staging/desire/NAMESPACE,NAMESPACE
rforge/remoterengine,pkg/RemoteREngine.examples/NAMESPACE,NAMESPACE
rforge/remoterengine,pkg/RemoteREngine.test/NAMESPACE,NAMESPACE
rforge/remoterengine,pkg/RemoteREngine/NAMESPACE,NAMESPACE
dashee87/jobbR,NAMESPACE,NAMESPACE
ansgarwenzel/fizzbuzz,NAMESPACE,NAMESPACE
merliseclyde/MODA,NAMESPACE,NAMESPACE
aiminy/ModifiedJunctionSeq,JunctionSeq/NAMESPACE,NAMESPACE
adamryczkowski/depwalker,NAMESPACE,NAMESPACE
ecos-umons/maintaineR,NAMESPACE,NAMESPACE
famuvie/multinomINLA,NAMESPACE,NAMESPACE
luiscape/cpser,NAMESPACE,NAMESPACE
HenrikBengtsson/R.basic,NAMESPACE,NAMESPACE
nikamir/agiCGH,NAMESPACE,NAMESPACE
R-Finance/PApages,NAMESPACE,NAMESPACE
uribo/Japan.useR,NAMESPACE,NAMESPACE
charliebone/shopifyr,NAMESPACE,NAMESPACE
ajdm/travisreleasetest,NAMESPACE,NAMESPACE
adammartin/.emacs.d,elpa/yasnippet-0.10.0/snippets/c++-mode/namespace,namespace
adammartin/.emacs.d,elpa/yasnippet-0.10.0/snippets/csharp-mode/namespace,namespace
zoevanhavre/Zmix_devVersion2,NAMESPACE,NAMESPACE
rappster/conditionr,NAMESPACE,NAMESPACE
